acquéreur,/akeʁœʁ/,acquérir,/akeʁiʁ/
lire,/liʁ/,leur,/lœʁ/
lit,/li/,la,/la/
lit,/li/,le,/lə/
lit,/li/,lin,/lɛ̃/
lit,/li/,lu,/ly/
loger,/lɔʒe/,léger,/leʒe/
loin,/lwɛ̃/,loi,/lwa/
long,/lɔ̃/,la,/la/
long,/lɔ̃/,lait,/lɛ/
long,/lɔ̃/,le,/lə/
long,/lɔ̃/,lent,/lɑ̃/
long,/lɔ̃/,lin,/lɛ̃/
long,/lɔ̃/,lit,/li/
long,/lɔ̃/,lot,/lo/
long,/lɔ̃/,lu,/ly/
look,/luk/,lac,/lak/
lors,/lɔʁ/,leur,/lœʁ/
lors,/lɔʁ/,lire,/liʁ/
lot,/lo/,la,/la/
lot,/lo/,le,/lə/
lot,/lo/,lin,/lɛ̃/
lot,/lo/,lit,/li/
lot,/lo/,lu,/ly/
louis,/lwi/,lui,/lɥi/
loup,/lu/,la,/la/
loup,/lu/,lait,/lɛ/
loup,/lu/,le,/lə/
loup,/lu/,lent,/lɑ̃/
loup,/lu/,lin,/lɛ̃/
loup,/lu/,lit,/li/
loup,/lu/,long,/lɔ̃/
loup,/lu/,lot,/lo/
loup,/lu/,lu,/ly/
lourd,/luʁ/,leur,/lœʁ/
lourd,/luʁ/,lors,/lɔʁ/
lu,/ly/,la,/la/
lu,/ly/,le,/lə/
législature,/leʒislatyʁ/,législateur,/leʒislatœʁ/
mai,/mɛ/,ma,/ma/
mai,/mɛ/,me,/mə/
main,/mɛ̃/,ma,/ma/
main,/mɛ̃/,mai,/mɛ/
main,/mɛ̃/,me,/mə/
main,/mɛ̃/,mis,/mi/
main,/mɛ̃/,mon,/mɔ̃/
main,/mɛ̃/,mot,/mo/
marc,/maʁ/,mer,/mɛʁ/
marc,/maʁ/,mur,/myʁ/
me,/mə/,ma,/ma/
mener,/məne/,menu,/məny/
meuse,/møz/,mise,/miz/
million,/miljɔ̃/,milieu,/miljø/
mis,/mi/,ma,/ma/
mis,/mi/,mai,/mɛ/
mis,/mi/,me,/mə/
mon,/mɔ̃/,ma,/ma/
mon,/mɔ̃/,mai,/mɛ/
mon,/mɔ̃/,me,/mə/
mon,/mɔ̃/,mis,/mi/
monde,/mɔ̃d/,mode,/mɔd/
mort,/mɔʁ/,marc,/maʁ/
mort,/mɔʁ/,mer,/mɛʁ/
mort,/mɔʁ/,mur,/myʁ/
mot,/mo/,ma,/ma/
mot,/mo/,mai,/mɛ/
mot,/mo/,me,/mə/
mot,/mo/,mis,/mi/
mot,/mo/,mon,/mɔ̃/
