sort,/sɔʁ/,bord,/bɔʁ/
zar,/zaʁ/,bar,/baʁ/
chasse,/ʃas/,basse,/bas/
chat,/ʃa/,bas,/ba/
chaud,/ʃo/,beau,/bo/
chez,/ʃe/,b,/be/
chien,/ʃjɛ̃/,bien,/bjɛ̃/
choix,/ʃwa/,bois,/bwa/
chute,/ʃyt/,but,/byt/
roche,/ʁɔʃ/,robe,/ʁɔb/
shell,/ʃɛl/,belle,/bɛl/
belle,/bɛl/,gel,/ʒɛl/
bulles,/byl/,jules,/ʒyl/
by,/bi/,j,/ʒi/
g,/ʒe/,b,/be/
joie,/ʒwa/,bois,/bwa/
joue,/ʒu/,bout,/bu/
bois,/bwa/,roi,/ʁwa/
bord,/bɔʁ/,bob,/bɔb/
cubes,/kyb/,cure,/kyʁ/
peur,/pœʁ/,pub,/pœb/
rail,/ʁaj/,bail,/baj/
rare,/ʁaʁ/,bar,/baʁ/
riz,/ʁi/,by,/bi/
robe,/ʁɔb/,bob,/bɔb/
rond,/ʁɔ̃/,bon,/bɔ̃/
roue,/ʁu/,bout,/bu/
bain,/bɛ̃/,lin,/lɛ̃/
bas,/ba/,la,/la/
beau,/bo/,lot,/lo/
bois,/bwa/,loi,/lwa/
délit,/deli/,débit,/debi/
lien,/ljɛ̃/,bien,/bjɛ̃/
lit,/li/,by,/bi/
long,/lɔ̃/,bon,/bɔ̃/
lors,/lɔʁ/,bord,/bɔʁ/
loup,/lu/,bout,/bu/
yen,/jɛn/,ben,/bɛn/
oui,/wi/,by,/bi/
huit,/ɥit/,bit,/bit/
pont,/pɔ̃/,ton,/tɔ̃/
prix,/pʁi/,tri,/tʁi/
t,/te/,p,/pe/
tard,/taʁ/,par,/paʁ/
taux,/to/,peau,/po/
tire,/tiʁ/,pire,/piʁ/
tort,/tɔʁ/,port,/pɔʁ/
tour,/tuʁ/,pour,/puʁ/
trop,/tʁo/,pro,/pʁo/
tu,/ty/,pu,/py/
belle,/bɛl/,tel,/tɛl/
litre,/litʁ/,libre,/libʁ/
t,/te/,b,/be/
tard,/taʁ/,bar,/baʁ/
taux,/to/,beau,/bo/
teint,/tɛ̃/,bain,/bɛ̃/
toit,/twa/,bois,/bwa/
ton,/tɔ̃/,bon,/bɔ̃/
tort,/tɔʁ/,bord,/bɔʁ/
tout,/tu/,bout,/bu/
cote,/kɔt/,code,/kɔd/
t,/te/,d,/de/
taux,/to/,dos,/do/
te,/tə/,de,/də/
tire,/tiʁ/,dire,/diʁ/
toit,/twa/,doit,/dwa/
ton,/tɔ̃/,don,/dɔ̃/
tout,/tu/,doux,/du/
tu,/ty/,du,/dy/
vite,/vit/,vide,/vid/
court,/kuʁ/,tour,/tuʁ/
cubes,/kyb/,tube,/tyb/
que,/kə/,te,/tə/
quel,/kɛl/,tel,/tɛl/
sept,/sɛt/,sec,/sɛk/
tard,/taʁ/,car,/kaʁ/
toit,/twa/,quoi,/kwa/
tout,/tu/,coup,/ku/
tri,/tʁi/,cri,/kʁi/
tu,/ty/,q,/ky/
gris,/ɡʁi/,tri,/tʁi/
guerre,/ɡɛʁ/,terre,/tɛʁ/
honte,/ɔ̃t/,hong,/ɔ̃ɡ/
langue,/lɑ̃ɡ/,lente,/lɑ̃t/
mettre,/mɛtʁ/,maigre,/mɛɡʁ/
tard,/taʁ/,gare,/ɡaʁ/
teint,/tɛ̃/,gain,/ɡɛ̃/
train,/tʁɛ̃/,grain,/ɡʁɛ̃/
trop,/tʁo/,gros,/ɡʁo/
vogue,/vɔɡ/,vote,/vɔt/
comme,/kɔm/,cote,/kɔt/
date,/dat/,dame,/dam/
tard,/taʁ/,marc,/maʁ/
taux,/to/,mot,/mo/
taxe,/taks/,max,/maks/
te,/tə/,me,/mə/
toit,/twa/,moi,/mwa/
ton,/tɔ̃/,mon,/mɔ̃/
tort,/tɔʁ/,mort,/mɔʁ/
était,/etɛ/,émet,/emɛ/
lutte,/lyt/,lune,/lyn/
mythe,/mit/,mine,/min/
nez,/ne/,t,/te/
taux,/to/,nos,/no/
te,/tə/,ne,/nə/
toit,/twa/,noix,/nwa/
ton,/tɔ̃/,non,/nɔ̃/
tort,/tɔʁ/,nord,/nɔʁ/
tout,/tu/,nous,/nu/
tu,/ty/,nu,/ny/
digne,/diɲ/,dite,/dit/
signe,/siɲ/,cite,/sit/
fond,/fɔ̃/,ton,/tɔ̃/
fut,/fy/,tu,/ty/
taux,/to/,faux,/fo/
taxe,/taks/,fax,/faks/
toit,/twa/,foi,/fwa/
tort,/tɔʁ/,fort,/fɔʁ/
tour,/tuʁ/,four,/fuʁ/
tout,/tu/,fou,/fu/
vite,/vit/,vif,/vif/
était,/etɛ/,effet,/efɛ/
avoue,/avu/,atout,/atu/
livre,/livʁ/,litre,/litʁ/
ouvre,/uvʁ/,outre,/utʁ/
teint,/tɛ̃/,vin,/vɛ̃/
v,/ve/,t,/te/
veau,/vo/,taux,/to/
voit,/vwa/,toit,/twa/
vont,/vɔ̃/,ton,/tɔ̃/
vous,/vu/,tout,/tu/
vue,/vy/,tu,/ty/
acte,/akt/,axe,/aks/
but,/byt/,bus,/bys/
cite,/sit/,six,/sis/
dite,/dit/,dix,/dis/
t,/te/,c,/se/
taux,/to/,saut,/so/
te,/tə/,ce,/sə/
tel,/tɛl/,sel,/sɛl/
ton,/tɔ̃/,son,/sɔ̃/
tu,/ty/,su,/sy/
disent,/diz/,dite,/dit/
douze,/duz/,doute,/dut/
haute,/ot/,ose,/oz/
honte,/ɔ̃t/,onze,/ɔ̃z/
mythe,/mit/,mise,/miz/
prétend,/pʁetɑ̃/,présent,/pʁezɑ̃/
seize,/sɛz/,sept,/sɛt/
tard,/taʁ/,zar,/zaʁ/
treize,/tʁɛz/,traite,/tʁɛt/
vite,/vit/,vise,/viz/
chante,/ʃɑ̃t/,tente,/tɑ̃t/
chaud,/ʃo/,taux,/to/
chez,/ʃe/,t,/te/
choix,/ʃwa/,toit,/twa/
douche,/duʃ/,doute,/dut/
shell,/ʃɛl/,tel,/tɛl/
temps,/tɑ̃/,champ,/ʃɑ̃/
terre,/tɛʁ/,cher,/ʃɛʁ/
tiens,/tjɛ̃/,chien,/ʃjɛ̃/
touche,/tuʃ/,toute,/tut/
geste,/ʒɛst/,test,/tɛst/
jus,/ʒy/,tu,/ty/
neige,/nɛʒ/,net,/nɛt/
route,/ʁut/,rouge,/ʁuʒ/
t,/te/,g,/ʒe/
te,/tə/,je,/ʒə/
tel,/tɛl/,gel,/ʒɛl/
toit,/twa/,joie,/ʒwa/
tour,/tuʁ/,jour,/ʒuʁ/
tout,/tu/,joue,/ʒu/
dite,/dit/,dire,/diʁ/
four,/fuʁ/,foot,/fut/
note,/nɔt/,nord,/nɔʁ/
rond,/ʁɔ̃/,ton,/tɔ̃/
rue,/ʁy/,tu,/ty/
sert,/sɛʁ/,sept,/sɛt/
tard,/taʁ/,rare,/ʁaʁ/
tire,/tiʁ/,rire,/ʁiʁ/
toit,/twa/,roi,/ʁwa/
tout,/tu/,roue,/ʁu/
long,/lɔ̃/,ton,/tɔ̃/
sept,/sɛt/,sel,/sɛl/
taux,/to/,lot,/lo/
te,/tə/,le,/lə/
tire,/tiʁ/,lire,/liʁ/
toit,/twa/,loi,/lwa/
tort,/tɔʁ/,lors,/lɔʁ/
tout,/tu/,loup,/lu/
tu,/ty/,lu,/ly/
vote,/vɔt/,vol,/vɔl/
bouillon,/bujɔ̃/,bouton,/butɔ̃/
conscient,/kɔ̃sjɑ̃/,constant,/kɔ̃stɑ̃/
meilleur,/mɛjœʁ/,metteur,/mɛtœʁ/
terre,/tɛʁ/,hier,/jɛʁ/
star,/staʁ/,soir,/swaʁ/
deux,/dø/,peu,/pø/
p,/pe/,d,/de/
pair,/pɛʁ/,der,/dɛʁ/
peau,/po/,dos,/do/
pire,/piʁ/,dire,/diʁ/
pis,/pi/,die,/di/
pont,/pɔ̃/,don,/dɔ̃/
pose,/poz/,dose,/doz/
pu,/py/,du,/dy/
pure,/pyʁ/,dur,/dyʁ/
beau,/bo/,dos,/do/
d,/de/,b,/be/
die,/di/,by,/bi/
dite,/dit/,bit,/bit/
doit,/dwa/,bois,/bwa/
don,/dɔ̃/,bon,/bɔ̃/
donne,/dɔn/,bonne,/bɔn/
douche,/duʃ/,bouche,/buʃ/
doux,/du/,bout,/bu/
cote,/kɔt/,code,/kɔd/
t,/te/,d,/de/
taux,/to/,dos,/do/
te,/tə/,de,/də/
tire,/tiʁ/,dire,/diʁ/
toit,/twa/,doit,/dwa/
ton,/tɔ̃/,don,/dɔ̃/
tout,/tu/,doux,/du/
tu,/ty/,du,/dy/
vite,/vit/,vide,/vid/
cause,/koz/,dose,/doz/
corée,/kɔʁe/,doré,/dɔʁe/
cure,/kyʁ/,dur,/dyʁ/
dent,/dɑ̃/,camp,/kɑ̃/
doter,/dɔte/,coté,/kɔte/
doux,/du/,coup,/ku/
du,/dy/,q,/ky/
que,/kə/,de,/də/
qui,/ki/,die,/di/
quoi,/kwa/,doit,/dwa/
disent,/diz/,guise,/ɡiz/
gamme,/ɡam/,dame,/dam/
gouttes,/ɡut/,doute,/dut/
